stmv experiment
central box width 102
bar height 100
blocksize 50
orientation v
colordesc mono
contrast 2
nwaves 1
center_nwaves 3
Modified Magno Test
e_code   loc   rate   dir   Dur   ISI
12 3 8 r 220 280
11 3 8 l 220 680
13 3 8 l 220 680
100 3 0 0 500 680
13 3 8 r 220 680
13 3 8 l 220 280
11 3 8 l 220 680
13 3 8 r 220 480
12 3 8 r 220 680
13 3 8 r 220 480
12 3 8 l 220 280
11 3 8 l 220 680
13 3 8 l 220 480
12 3 8 l 220 680
13 3 8 r 220 480
12 3 8 r 220 280
11 3 8 r 220 280
11 3 8 r 220 480
100 3 0 0 500 280
11 3 8 l 220 280
11 3 8 l 220 480
12 3 8 r 220 280
11 3 8 l 220 680
13 3 8 r 220 480
12 3 8 l 220 280
11 3 8 r 220 280
11 3 8 r 220 680
13 3 8 r 220 680
13 3 8 l 220 480
12 3 8 r 220 680
100 3 0 0 500 480
12 3 8 r 220 680
13 3 8 r 220 680
13 3 8 r 220 680
13 3 8 r 220 680
13 3 8 r 220 680
13 3 8 l 220 280
11 3 8 l 220 680
13 3 8 l 220 480
12 3 8 l 220 480
12 3 8 l 220 480
12 3 8 r 220 680
13 3 8 l 220 680
100 3 0 0 500 480
12 3 8 r 220 680
13 3 8 l 220 680
13 3 8 l 220 680
13 3 8 l 220 280
11 3 8 r 220 480
12 3 8 l 220 480
12 3 8 l 220 680
13 3 8 l 220 280
11 3 8 l 220 280
11 3 8 r 220 480
12 3 8 l 220 480
12 3 8 r 220 280
11 3 8 l 220 480
12 3 8 l 220 680
100 3 0 0 500 680
13 3 8 r 220 480
12 3 8 l 220 480
12 3 8 l 220 280
11 3 8 l 220 480
12 3 8 l 220 480
12 3 8 l 220 280
11 3 8 r 220 280
11 3 8 l 220 680
100 3 0 0 500 680
13 3 8 l 220 680
13 3 8 l 220 680
13 3 8 r 220 680
13 3 8 l 220 480
12 3 8 l 220 480
12 3 8 l 220 680
13 3 8 l 220 280
11 3 8 l 220 280
11 3 8 l 220 280
11 3 8 r 220 280
11 3 8 l 220 680
13 3 8 r 220 280
11 3 8 r 220 480
12 3 8 l 220 280
100 3 0 0 500 280
11 3 8 r 220 480
12 3 8 l 220 280
11 3 8 r 220 280
11 3 8 r 220 680
13 3 8 l 220 680
13 3 8 l 220 680
13 3 8 r 220 280
11 3 8 r 220 680
13 3 8 l 220 680
13 3 8 r 220 280
100 3 0 0 500 280
11 3 8 r 220 480
12 3 8 r 220 280
11 3 8 l 220 280
11 3 8 r 220 680
13 3 8 l 220 280
11 3 8 r 220 680
13 3 8 l 220 280
11 3 8 l 220 480
12 3 8 l 220 680
13 3 8 r 220 480
12 3 8 l 220 680
13 3 8 r 220 280
11 3 8 r 220 280
11 3 8 r 220 280
100 3 0 0 500 280
11 3 8 l 220 480
12 3 8 r 220 480
12 3 8 l 220 280
11 3 8 r 220 680
13 3 8 l 220 480
12 3 8 r 220 280
11 3 8 r 220 680
13 3 8 r 220 480
12 3 8 r 220 480
12 3 8 r 220 680
13 3 8 l 220 280
100 3 0 0 500 280
11 3 8 l 220 280
11 3 8 r 220 480
12 3 8 r 220 480
12 3 8 r 220 280
11 3 8 l 220 280
11 3 8 l 220 480
12 3 8 r 220 480
12 3 8 l 220 680
13 3 8 r 220 480
12 3 8 l 220 480
12 3 8 l 220 680
13 3 8 l 220 680
13 3 8 r 220 680
100 3 0 0 500 480
12 3 8 r 220 680
13 3 8 l 220 680
13 3 8 l 220 280
11 3 8 l 220 680
13 3 8 l 220 680
13 3 8 r 220 280
11 3 8 l 220 480
12 3 8 r 220 480
